anime_id,name,genre,type,episodes,rating,members,genre1,count
33662,Taka no Tsume 8: Yoshida-kun no X-Files,"Comedy, Parody",Movie,1.0,10.0,13,Comedy,3147
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10.0,9.15,93351,Comedy,3147
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.93,179342,Comedy,3147
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75.0,8.83,157670,Comedy,3147
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,8.81,240297,Comedy,3147
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26.0,8.8,205959,Comedy,3147
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43.0,8.77,268487,Comedy,3147
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26.0,8.75,88995,Comedy,3147
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.71,133620,Comedy,3147
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2.0,8.69,16947,Comedy,3147
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25.0,8.68,66756,Comedy,3147
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.68,284498,Comedy,3147
22219,Warera Salaryman Tou,"Comedy, Slice of Life",TV,26.0,8.67,57,Comedy,3147
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4.0,8.64,33422,Comedy,3147
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.62,184525,Comedy,3147
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12.0,8.61,103178,Comedy,3147
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,8.59,72958,Comedy,3147
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.58,243325,Comedy,3147
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25.0,8.58,28653,Comedy,3147
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101.0,8.56,82570,Comedy,3147
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47.0,8.55,197256,Comedy,3147
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.53,151561,Comedy,3147
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50.0,8.53,53108,Comedy,3147
10165,Nichijou,"Comedy, School, Slice of Life",TV,26.0,8.52,254436,Comedy,3147
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2.0,8.5,13405,Comedy,3147
22789,Barakamon,"Comedy, Slice of Life",TV,12.0,8.5,225927,Comedy,3147
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51.0,8.5,38531,Comedy,3147
25835,Shirobako,"Comedy, Drama",TV,24.0,8.49,146895,Comedy,3147
7655,Major S6,"Comedy, Drama, Sports",TV,25.0,8.49,24788,Comedy,3147
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25.0,8.46,338315,Comedy,3147
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23.0,8.46,157025,Comedy,3147
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25.0,8.45,633817,Comedy,3147
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12.0,8.43,107855,Comedy,3147
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26.0,8.42,41061,Comedy,3147
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2.0,8.41,67261,Comedy,3147
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26.0,8.41,30689,Comedy,3147
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26.0,8.4,148328,Comedy,3147
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24.0,8.4,291228,Comedy,3147
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24.0,8.4,380375,Comedy,3147
23185,Chamebou Kuukijuu no Maki,Comedy,Movie,1.0,8.4,66,Comedy,3147
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1.0,8.39,47840,Comedy,3147
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26.0,8.39,422271,Comedy,3147
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11.0,8.38,67697,Comedy,3147
22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10.0,8.37,122895,Comedy,3147
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11.0,8.36,67032,Comedy,3147
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13.0,8.36,71820,Comedy,3147
9863,SKET Dance,"Comedy, School, Shounen",TV,77.0,8.36,101027,Comedy,3147
9890,Major: Message,"Comedy, Drama, Sports",OVA,1.0,8.36,12282,Comedy,3147
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26.0,8.35,28002,Comedy,3147
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12.0,8.35,258914,Comedy,3147
7674,Bakuman.,"Comedy, Romance, Shounen",TV,25.0,8.35,246899,Comedy,3147
3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13.0,8.34,74941,Comedy,3147
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1.0,8.34,31856,Comedy,3147
9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1.0,8.34,115252,Comedy,3147
26317,Obake Nagaya,"Comedy, Kids, Supernatural",OVA,1.0,8.33,42,Comedy,3147
759,Tokyo Godfathers,"Comedy, Drama",Movie,1.0,8.32,89424,Comedy,3147
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13.0,8.31,222994,Comedy,3147
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12.0,8.31,69253,Comedy,3147
